sentence #,pattern,benefit_type,requirement_text,word,POS,tags
sentence 2,1) Coverage is available for up to one (1) visit per week for adult day center services.,ADCS,Adult Day Care Services,services,NNS,I_INCLUSION
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,We,PRP,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,will,MD,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,also,RB,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,provide,VB,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,transportation,NN,U_INCLUSION
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,to,TO,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,and,CC,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,from,IN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,the,DT,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,center,NN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,if,IN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,not,RB,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,otherwise,RB,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,covered,VBN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,by,IN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,the,DT,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,center,NN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,for,IN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,the,DT,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,day,NN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,that,WDT,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,is,VBZ,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,being,VBG,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,covered,VBN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,under,IN,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,this,DT,O
sentence 3,"We will also provide transportation to and from the center, if not otherwise covered by the center, for the day that is being covered under this benefit.",ADCS,Adult Day Care Services,benefit,NN,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,Alternative,JJ,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,Medicine,NNP,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,benefit,NN,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,is,VBZ,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,fully,RB,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,managed,VBN,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,by,IN,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,American,NNP,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,Specialty,NNP,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,Health,NNP,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,(ASH),NNP,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,including,VBG,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,all,DT,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,claims,NNS,B_INCLUSION
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,processing,NN,I_INCLUSION
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,and,CC,O
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,medical,JJ,B_INCLUSION
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,review,NN,I_INCLUSION
sentence 4,Alternative Medicine benefit is fully managed by American Specialty Health (ASH) including all claims processing and medical review (done via provider).,ALMD,Alternative Medicine,(done via provider),NN,O
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,c),NN,O
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,May,NNP,O
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,Include,NNP,O
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,admission,NN,B_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,to,TO,I_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,a,DT,I_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,more,RBR,I_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,intensive,JJ,I_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,level,NN,I_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,of,IN,I_INCLUSION
sentence 5,c) May include admission to a more intensive level of care.,BHCS,Behavioral Health/Substance Abuse - Crisis Intervention/Stabilization,care,NN,I_INCLUSION
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,Medically,RB,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,necessary,JJ,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,services,NNS,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,that,WDT,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,include,VBP,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,but,CC,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,are,VBP,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,not,RB,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,limited,VBN,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,to,TO,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,-,:,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,Psychiatric,NN,B_INCLUSION
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,services,NNS,I_INCLUSION
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,for,IN,I_INCLUSION
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,children,NNS,I_INCLUSION
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,adolescents,NNS,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,and,CC,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,adults,NNS,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,provided,VBN,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,in,IN,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,an,DT,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,acute,NN,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,care,NN,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,or,CC,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,free,JJ,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,standing,VBG,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,psychiatric,JJ,O
sentence 6,"Medically necessary services that include, but are not limited to:
 - Psychiatric services for children, adolescents and adults provided in an acute care or free standing psychiatric hospital.",BHIP,Behavioral Health/Substance Abuse - Inpatient Services,hospital,NN,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Outpatient,NN,B_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Services,NNPS,I_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,are,VBP,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,generally,RB,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,covered,VBN,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,for,IN,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,the,DT,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,treatment,NN,B_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,of,IN,I_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,mental,JJ,I_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,health,NN,I_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,and,CC,O
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,substance,NN,B_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,abuse,NN,I_INCLUSION
sentence 7,Outpatient Services are generally covered for the treatment of mental health and substance abuse issues.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,issues,NNS,I_INCLUSION
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,4),CD,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,(if covered),JJ,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Opioid,NNP,B_INCLUSION
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,use,NN,I_INCLUSION
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,disorder,NN,I_INCLUSION
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,treatment,NN,I_INCLUSION
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,services,NNS,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,are,VBP,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,covered,VBN,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,under,IN,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Part B,NNP,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,of,IN,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Original,NNP,O
sentence 8,4) (If covered) Opioid use disorder treatment services are covered under Part B of Original Medicare.,BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Medicare,NNP,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,Covered,NNP,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,services,NNS,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,include,VBP,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,-,:,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,FDA-,NN,B_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,approved,VBD,I_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,opiod,JJ,I_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,agonist,NN,I_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,and,CC,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,antagonist,JJ,B_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,treatment,NN,I_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,medications,NNS,I_INCLUSION
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,and,CC,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,the,DT,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,dispensing,NN,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,and,CC,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,administration,NN,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,of,IN,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,such,JJ,O
sentence 9,"Covered services include:
  - FDA-approved opioid agonist and antagonist treatment medications and the dispensing and administration of such medications, if applicable
  - Substance use counseling
  - Individual and group therapy
  - Toxicology testing",BHOP, Behavioral Health/Substance Abuse - Outpatient Services,medications,NNS,O
